quartier,avg_rent,std_rent,min_rent,max_rent,n_samples,shop_count,value_score
1,28.91,4.04,21.5,40.0,224,20,0.69
2,26.06,3.69,19.8,36.8,224,88,3.38
3,28.91,4.04,21.5,40.0,224,40,1.38
4,28.91,4.04,21.5,40.0,224,26,0.9
5,28.91,4.04,21.5,40.0,224,35,1.21
6,27.77,3.82,21.4,38.8,224,45,1.62
7,27.77,3.82,21.4,38.8,224,51,1.84
8,27.77,3.82,21.4,38.8,224,86,3.1
9,27.77,3.82,21.4,38.8,224,77,2.77
10,27.77,3.82,21.4,38.8,224,88,3.17
11,27.77,3.82,21.4,38.8,224,35,1.26
12,27.77,3.82,21.4,38.8,224,56,2.02
13,28.91,4.04,21.5,40.0,224,65,2.25
14,27.77,3.82,21.4,38.8,224,106,3.82
15,28.91,4.04,21.5,40.0,224,63,2.18
16,28.91,4.04,21.5,40.0,224,32,1.11
17,27.77,3.82,21.4,38.8,224,112,4.03
18,25.68,3.31,20.2,35.6,224,110,4.28
19,27.77,3.82,21.4,38.8,224,130,4.68
20,27.77,3.82,21.4,38.8,224,128,4.61
21,28.91,4.04,21.5,40.0,224,74,2.56
22,28.91,4.04,21.5,40.0,224,87,3.01
23,31.2,3.79,22.8,41.8,224,174,5.58
24,28.91,4.04,21.5,40.0,224,45,1.56
25,31.2,3.79,22.8,41.8,224,89,2.85
26,31.2,3.79,22.8,41.8,224,34,1.09
27,31.2,3.79,22.8,41.8,224,40,1.28
28,31.2,3.79,22.8,41.8,224,165,5.29
29,28.91,4.04,21.5,40.0,224,31,1.07
30,28.91,4.04,21.5,40.0,224,103,3.56
31,28.91,4.04,21.5,40.0,224,72,2.49
32,28.47,2.69,23.4,35.5,224,140,4.92
33,26.06,3.69,19.8,36.8,224,145,5.56
34,28.91,4.04,21.5,40.0,224,76,2.63
35,26.06,3.69,19.8,36.8,224,113,4.34
36,26.06,3.69,19.8,36.8,224,134,5.14
37,26.06,3.69,19.8,36.8,224,210,8.06
38,26.06,3.69,19.8,36.8,224,112,4.3
39,24.56,3.17,18.7,34.8,224,142,5.78
40,24.56,3.17,18.7,34.8,224,126,5.13
41,24.56,3.17,18.7,34.8,224,193,7.86
42,25.68,3.31,20.2,35.6,224,137,5.33
43,24.56,3.17,18.7,34.8,224,250,10.18
44,25.68,3.31,20.2,35.6,224,167,6.5
45,23.1,3.04,17.0,31.1,224,127,5.5
46,24.0,3.2,16.9,32.9,224,221,9.21
47,23.1,3.04,17.0,31.1,224,37,1.6
48,24.56,3.17,18.7,34.8,224,217,8.84
49,25.68,3.31,20.2,35.6,224,62,2.41
50,21.33,3.79,14.3,32.4,224,184,8.63
51,25.08,3.69,18.5,36.5,224,211,8.41
52,26.06,3.69,19.8,36.8,224,48,1.84
53,26.06,3.69,19.8,36.8,224,112,4.3
54,24.56,3.17,18.7,34.8,224,34,1.38
55,25.68,3.31,20.2,35.6,224,214,8.33
56,25.08,3.69,18.5,36.5,224,216,8.61
57,25.3,2.88,19.4,33.9,224,268,10.59
58,27.25,2.93,21.5,35.9,224,210,7.71
59,26.16,2.76,21.4,34.7,224,188,7.19
60,26.16,2.76,21.4,34.7,224,171,6.54
61,26.16,2.76,21.4,34.7,224,198,7.57
62,28.47,2.69,23.4,35.5,224,192,6.74
63,28.47,2.69,23.4,35.5,224,112,3.93
64,28.47,2.69,23.4,35.5,224,102,3.58
65,27.25,2.93,21.5,35.9,224,215,7.89
66,27.25,2.93,21.5,35.9,224,176,6.46
67,25.68,3.31,20.2,35.6,224,199,7.75
68,24.56,3.17,18.7,34.8,224,200,8.14
69,24.0,3.2,16.9,32.9,224,312,13.0
70,24.0,3.2,16.9,32.9,224,404,16.83
71,24.56,3.17,18.7,34.8,224,171,6.96
72,21.33,3.79,14.3,32.4,224,111,5.2
73,21.33,3.79,14.3,32.4,224,194,9.1
74,21.33,3.79,14.3,32.4,224,58,2.72
75,21.33,3.79,14.3,32.4,224,150,7.03
76,23.1,3.04,17.0,31.1,224,131,5.67
77,24.56,3.17,18.7,34.8,224,139,5.66
78,21.33,3.79,14.3,32.4,224,111,5.2
79,23.1,3.04,17.0,31.1,224,172,7.45
80,21.33,3.79,14.3,32.4,224,211,9.89
